session_id,duration,Completed_step1,Completed_step2,Completed_pmt,region_name,region_code,state_code,state_name,zip_code,city_name,lat,lng,state_quadrant,county_name,basket_price,country
0,75902,N,N,N,Mid-Atlantic,Northeast,PA,Pennsylvania,16616,Beccaria,40.770522,-78.44099,SW Corner of Pennsylvania,Clearfield County,187,United States
1,72058,Y,N,N,South Atlantic,South,DC,Washington DC,20429,Washington,38.893311,-77.014647,SW Corner of Washington DC,District of Columbia,152,United States
2,43094,Y,Y,N,Pacific,West,CA,California,95350,Modesto,37.671778,-121.01249,NW Corner of California,Stanislaus County,125,United States
3,241316,Y,N,N,South Atlantic,South,NC,North Carolina,27895,Wilson,35.719923,-77.926691,NE Corner of North Carolina,Wilson County,163,United States
4,297422,Y,Y,N,Pacific,West,CA,California,90210,Beverly Hills,34.088808,-118.40612,SE Corner of California,Los Angeles County,99,United States
5,271777,N,N,N,East North Central,Midwest,MI,Michigan,49836,Germfask,46.180416,-85.90176,NE Corner of Michigan,Schoolcraft County,219,United States
6,227560,Y,Y,Y,South Atlantic,South,NC,North Carolina,27019,Germanton,36.297049,-80.23777,NW Corner of North Carolina,Stokes County,80,United States
7,9445,N,N,N,Pacific,West,CA,California,95155,San Jose,37.189396,-121.705327,SW Corner of California,Santa Clara County,141,United States
8,35679,Y,Y,Y,South Atlantic,South,GA,Georgia,30623,Bostwick,33.754235,-83.511055,NW Corner of Georgia,Morgan County,213,United States
9,230041,N,N,N,New England,Northeast,ME,Maine,04947,Kingfield,45.018122,-70.2669,SW Corner of Maine,Franklin County,137,United States
10,287843,Y,Y,N,South Atlantic,South,PR,Puerto Rico,00986,Carolina,18.393355,-65.972495,NE Corner of Puerto Rico,Carolina,191,United States
11,244938,Y,Y,N,New England,Northeast,MA,Massachusetts,01803,Burlington,42.506362,-71.20008,NE Corner of Massachusetts,Middlesex County,156,United States
12,284062,Y,N,N,West North Central,Midwest,IA,Iowa,52246,Iowa City,41.650916,-91.56058,SE Corner of Iowa,Johnson County,246,United States
13,247743,Y,N,N,East North Central,Midwest,OH,Ohio,45876,Ottoville,40.931687,-84.33877,NW Corner of Ohio,Putnam County,168,United States
14,230132,Y,Y,Y,East South Central,South,AL,Alabama,35245,Birmingham,33.544622,-86.929208,NW Corner of Alabama,Jefferson County,63,United States
15,167881,Y,Y,Y,West North Central,Midwest,SD,South Dakota,57266,Summit,45.278474,-97.10544,NE Corner of South Dakota,Roberts County,148,United States
16,269231,Y,N,N,South Atlantic,South,GA,Georgia,30261,Lagrange,33.04567,-85.048995,NW Corner of Georgia,Troup County,189,United States
17,139194,Y,N,N,East North Central,Midwest,OH,Ohio,45314,Cedarville,39.744577,-83.79697,SW Corner of Ohio,Greene County,235,United States
18,126774,Y,Y,Y,Pacific,West,CA,California,95219,Stockton,38.004922,-121.40022,NW Corner of California,San Joaquin County,174,United States
