session_id,duration,Completed_step1,Completed_step2,Completed_pmt,region_code,state_code,zip_code
1,30000,Y,Y,Y,NE,PA,18352
2,30000,Y,Y,Y,NW,WA,18353
3,30000,Y,Y,Y,SE,FL,18354
4,30000,Y,Y,Y,SW,CA,18355
5,30000,Y,Y,Y,NE,MA,18356
6,30000,Y,N,N,NW,WA,18357
7,30000,Y,N,N,SE,GA,18358
8,30000,Y,N,N,SW,NM,18359
9,30000,Y,N,N,NE,VT,18360
10,30000,Y,N,N,NW,WY,18361
11,30000,Y,N,N,SE,LA,18362
12,30000,Y,N,N,SW,TX,18363
13,30000,Y,N,N,NE,PA,18364
14,30000,Y,N,N,NW,MT,18365
15,30000,N,N,N,SE,SC,18366
16,30000,Y,Y,N,SW,CA,18367
17,30000,N,N,N,NE,NJ,18368
18,30000,N,N,N,NW,ID,18369
19,30000,N,N,N,SE,TN,18370
20,30000,N,N,N,SW,CA,18371
21,30000,N,N,N,SW,CA,18372
22,30000,N,N,N,SW,CA,18373
23,30000,N,N,N,SW,CA,18374
24,30000,N,N,N,SW,CA,18375
25,30000,N,N,N,SW,CA,18376
26,30000,N,N,N,SW,CA,18377
27,30000,N,N,N,SW,CA,18378
28,30000,N,N,N,SW,CA,18379
29,30000,N,N,N,SW,CA,18380
30,30000,N,N,N,SW,CA,18381
31,30000,N,N,N,SW,CA,18382
32,30000,N,N,N,SW,CA,18383
33,30000,N,N,N,SW,CA,18384
34,30000,N,N,N,SW,CA,18385
35,30000,N,N,N,SW,CA,18386
36,30000,N,N,N,SW,CA,18387
37,30000,N,N,N,SW,CA,18388
38,30000,N,N,N,SW,CA,18389
39,30000,N,N,N,SW,CA,18390
40,30000,N,N,N,SW,CA,18391
